date,account,category,amount,currency,converted amount,currency,description
25/06/2021,Nequi,Initial balance 'Nequi',"9,421.28",COP,"9,421.28",COP,
26/06/2021,Bancolombia,Restaurante,"-50,200",COP,"-50,200",COP,Rappi
28/06/2021,Bancolombia,Comunicaciones,"-51,774.09",COP,"-51,774.09",COP,Claro datos
30/06/2021,Bancolombia,Comunicaciones,"-20,000",COP,"-20,000",COP,Recarga celular mamá
30/06/2021,Fiducuenta,Initial balance 'Fiducuenta',"66,750,767.94",COP,"66,750,767.94",COP,
30/06/2021,Bancolombia,Initial balance 'Bancolombia',"4,703,079.56",COP,"4,703,079.56",COP,
01/07/2021,Bancolombia,Salario,"179,000",COP,"179,000",COP,Deuda pagada Daniel
01/07/2021,Bancolombia,Salud,"-44,543",COP,"-44,543",COP,Emi
01/07/2021,Bancolombia,Entretenimiento,"-3,748.5",COP,"-3,748.5",COP,Need for speed heat
01/07/2021,Bancolombia,Entretenimiento,"-78,006.29",COP,"-78,006.29",COP,Need for speed heat
02/07/2021,Bancolombia,Restaurante,"-57,400",COP,"-57,400",COP,Rappi
02/07/2021,Bancolombia,Restaurante,"-20,300",COP,"-20,300",COP,Rappi
02/07/2021,Bancolombia,Regalos,"-4,700",COP,"-4,700",COP,Cumpleaños tpclient
05/07/2021,Bancolombia,Casa,"-146,490",COP,"-146,490",COP,Internet
06/07/2021,Bancolombia,Salud,"-280,000",COP,"-280,000",COP,Fisioterapias contractura muscular hombro izquierdo
08/07/2021,Bancolombia,Casa,"-228,548",COP,"-228,548",COP,EPM Servicios
08/07/2021,Fiducuenta,Casa,"-16,402.34",COP,"-16,402.34",COP,Bajó inversión
08/07/2021,Bancolombia,Restaurante,"-30,900",COP,"-30,900",COP,Comida guajira viaje leidy
08/07/2021,Bancolombia,To 'Nequi',"-24,000",COP,"-24,000",COP,Recarga
08/07/2021,Nequi,To 'Tarjeta nequi',"-24,000",COP,"-24,000",COP,Recarga tarjeta nequi
08/07/2021,Nequi,From 'Bancolombia',"24,000",COP,"24,000",COP,Recarga
09/07/2021,Fiducuenta,Ahorros,"23,943.58",COP,"23,943.58",COP,Subió inversión
10/07/2021,Bancolombia,Transporte,"-2,500",COP,"-2,500",COP,Cobro didi
10/07/2021,Bancolombia,Entretenimiento,"-29,800",COP,"-29,800",COP,Película Black widow
10/07/2021,Bancolombia,Restaurante,"-46,261",COP,"-46,261",COP,Frisby
11/07/2021,Bancolombia,Transporte,"-7,804",COP,"-7,804",COP,Viaje a puerta del norte
11/07/2021,Efectivo,Entretenimiento,"-21,800",COP,"-21,800",COP,Crispetas y ice procinal
11/07/2021,Efectivo,Restaurante,"-8,000",COP,"-8,000",COP,Dos limonadas en puerta del norte
11/07/2021,Efectivo,Restaurante,"-40,700",COP,"-40,700",COP,Combos rappidogs
11/07/2021,Efectivo,Transporte,"-6,800",COP,"-6,800",COP,Taxi a la casa
11/07/2021,Efectivo,Initial balance 'Efectivo',"150,000",COP,"150,000",COP,
12/07/2021,Fiducuenta,Ahorros,"22,336.3",COP,"22,336.3",COP,Subió inversión
12/07/2021,Bancolombia,Entretenimiento,"-26,900",COP,"-26,900",COP,Netflix
13/07/2021,Fiducuenta,Ahorros,"5,114.74",COP,"5,114.74",COP,Subió inversión
13/07/2021,Bancolombia,Depósitos,"3,748.5",COP,"3,748.5",COP,Devolución
14/07/2021,Fiducuenta,Ahorros,"3,971.64",COP,"3,971.64",COP,Subió inversión
14/07/2021,Bancolombia,Salario,"2,733,036",COP,"2,733,036",COP,Salario
15/07/2021,Bancolombia,Salud,"-95,882",COP,"-95,882",COP,Plan preferencial sura
15/07/2021,Fiducuenta,Ahorros,"1,200.99",COP,"1,200.99",COP,Subió inversión
15/07/2021,Bancolombia,Regalos,"-100,000",COP,"-100,000",COP,Regalo tenis para Mónica
